# meta
{"start_date": "2014-01-01 00:00:00", "resolution": 15, "unit": "W", "num_profiles": 3}
# id_list
{"Oberrhein": [0, 1, 2]}
# attrs
num_hh,1,2,3
num_residents,2,3,4
# profiles
2014-01-01 00:00,0,1,2
2014-01-01 00:15,1,2,3
2014-01-01 00:30,2,3,4
2014-01-01 00:45,3,4,5
2014-01-01 01:00,4,5,6
2014-01-01 01:15,5,6,7
2014-01-01 01:30,6,7,8
2014-01-01 01:45,7,8,9
2014-01-01 02:00,8,9,10
2014-01-01 02:15,9,10,11
2014-01-01 02:30,10,11,12
2014-01-01 02:45,11,12,13
2014-01-01 03:00,12,13,14
2014-01-01 03:15,13,14,15
2014-01-01 03:30,14,15,16
2014-01-01 03:45,15,16,17
2014-01-01 04:00,16,17,18
2014-01-01 04:15,17,18,19
2014-01-01 04:30,18,19,20
2014-01-01 04:45,19,20,21
2014-01-01 05:00,20,21,22
2014-01-01 05:15,21,22,23
2014-01-01 05:30,22,23,24
2014-01-01 05:45,23,24,25
2014-01-01 06:00,24,25,26
2014-01-01 06:15,25,26,27
2014-01-01 06:30,26,27,28
2014-01-01 06:45,27,28,29
2014-01-01 07:00,28,29,30
2014-01-01 07:15,29,30,31
2014-01-01 07:30,30,31,32
2014-01-01 07:45,31,32,33
2014-01-01 08:00,32,33,34
2014-01-01 08:15,33,34,35
2014-01-01 08:30,34,35,36
2014-01-01 08:45,35,36,37
2014-01-01 09:00,36,37,38
2014-01-01 09:15,37,38,39
2014-01-01 09:30,38,39,40
2014-01-01 09:45,39,40,41
2014-01-01 10:00,40,41,42
2014-01-01 10:15,41,42,43
2014-01-01 10:30,42,43,44
2014-01-01 10:45,43,44,45
2014-01-01 11:00,44,45,46
2014-01-01 11:15,45,46,47
2014-01-01 11:30,46,47,48
2014-01-01 11:45,47,48,49
2014-01-01 12:00,48,49,50
2014-01-01 12:15,49,50,51
2014-01-01 12:30,50,51,52
2014-01-01 12:45,51,52,53
2014-01-01 13:00,52,53,54
2014-01-01 13:15,53,54,55
2014-01-01 13:30,54,55,56
2014-01-01 13:45,55,56,57
2014-01-01 14:00,56,57,58
2014-01-01 14:15,57,58,59
2014-01-01 14:30,58,59,60
2014-01-01 14:45,59,60,61
2014-01-01 15:00,60,61,62
2014-01-01 15:15,61,62,63
2014-01-01 15:30,62,63,64
2014-01-01 15:45,63,64,65
2014-01-01 16:00,64,65,66
2014-01-01 16:15,65,66,67
2014-01-01 16:30,66,67,68
2014-01-01 16:45,67,68,69
2014-01-01 17:00,68,69,70
2014-01-01 17:15,69,70,71
2014-01-01 17:30,70,71,72
2014-01-01 17:45,71,72,73
2014-01-01 18:00,72,73,74
2014-01-01 18:15,73,74,75
2014-01-01 18:30,74,75,76
2014-01-01 18:45,75,76,77
2014-01-01 19:00,76,77,78
2014-01-01 19:15,77,78,79
2014-01-01 19:30,78,79,80
2014-01-01 19:45,79,80,81
2014-01-01 20:00,80,81,82
2014-01-01 20:15,81,82,83
2014-01-01 20:30,82,83,84
2014-01-01 20:45,83,84,85
2014-01-01 21:00,84,85,86
2014-01-01 21:15,85,86,87
2014-01-01 21:30,86,87,88
2014-01-01 21:45,87,88,89
2014-01-01 22:00,88,89,90
2014-01-01 22:15,89,90,91
2014-01-01 22:30,90,91,92
2014-01-01 22:45,91,92,93
2014-01-01 23:00,92,93,94
2014-01-01 23:15,93,94,95
2014-01-01 23:30,94,95,96
2014-01-01 23:45,95,96,97
